run_id,tick,time,car_id,pos_x,pos_y,speed,lap_time,lap_number,status,position_diff
20251112_114048,1,1762927849.0500195,car_1,0,0,1.0,0.0,0,running,0
20251112_114048,1,1762927849.0500195,car_2,20,0,1.0,0.0,0,running,0
20251112_114048,1,1762927849.0500195,car_3,40,0,1.0,0.0,0,running,0
20251112_114048,1,1762927849.0500195,car_4,60,0,1.0,0.0,0,running,0
20251112_114048,1,1762927849.0500195,car_5,80,0,1.0,0.0,0,running,0
20251112_114048,1,1762927849.0500195,car_6,100,0,1.0,0.0,0,running,0
20251112_114048,1,1762927849.0500195,car_7,120,0,1.0,0.0,0,running,0
20251112_114048,1,1762927849.0500195,car_8,140,0,1.0,0.0,0,running,0
20251112_114048,2,1762927849.0500195,car_1,0,0,1.0,0.0,0,running,0
20251112_114048,2,1762927849.0500195,car_2,20,0,1.04,0.0,0,running,0
20251112_114048,2,1762927849.0500195,car_3,40,0,0.98,0.0,0,running,0
20251112_114048,2,1762927849.0500195,car_4,60,0,1.0,0.0,0,running,0
20251112_114048,2,1762927849.0500195,car_5,80,0,1.0,0.0,0,running,0
20251112_114048,2,1762927849.0500195,car_6,100,0,0.98,0.0,0,running,0
20251112_114048,2,1762927849.0500195,car_7,120,0,1.0,0.0,0,running,0
20251112_114048,2,1762927849.0500195,car_8,140,0,1.0,0.0,0,running,0
20251112_114048,3,1762927849.0500195,car_1,0,0,1.0,0.0,0,running,0
20251112_114048,3,1762927849.0500195,car_2,20,0,1.04,0.0,0,running,0
20251112_114048,3,1762927849.0500195,car_3,40,0,0.98,0.0,0,running,0
20251112_114048,3,1762927849.0500195,car_4,60,0,1.0,0.0,0,running,0
20251112_114048,3,1762927849.0500195,car_5,80,0,1.0,0.0,0,running,0
20251112_114048,3,1762927849.0500195,car_6,100,0,0.98,0.0,0,running,0
20251112_114048,3,1762927849.0500195,car_7,120,0,1.0,0.0,0,running,0
20251112_114048,3,1762927849.0500195,car_8,140,0,1.0,0.0,0,running,0
20251112_114048,4,1762927849.0500195,car_1,0,0,1.0,0.0,0,running,0
20251112_114048,4,1762927849.0500195,car_2,20,0,1.04,0.0,0,running,0
20251112_114048,4,1762927849.0500195,car_3,40,0,0.98,0.0,0,running,0
20251112_114048,4,1762927849.0500195,car_4,60,0,1.0,0.0,0,running,0
20251112_114048,4,1762927849.0500195,car_5,80,0,1.0,0.0,0,running,0
20251112_114048,4,1762927849.0500195,car_6,100,0,0.98,0.0,0,running,0
20251112_114048,4,1762927849.0500195,car_7,120,0,1.0,0.0,0,running,0
20251112_114048,4,1762927849.0500195,car_8,140,0,1.0,0.0,0,running,0
20251112_114048,5,1762927849.0500195,car_1,0,0,1.0,0.0,0,running,0
20251112_114048,5,1762927849.0500195,car_2,20,0,1.0816000000000001,0.0,0,running,0
20251112_114048,5,1762927849.0500195,car_3,40,0,0.98,0.0,0,running,0
20251112_114048,5,1762927849.0500195,car_4,60,0,1.0,0.0,0,running,0
20251112_114048,5,1762927849.0500195,car_5,80,0,1.0,0.0,0,running,0
20251112_114048,5,1762927849.0500195,car_6,100,0,1.0192,0.0,0,running,0
20251112_114048,5,1762927849.0500195,car_7,120,0,1.0,0.0,0,running,0
20251112_114048,5,1762927849.0500195,car_8,140,0,1.0,0.0,0,running,0
20251112_114048,6,1762927849.0500195,car_1,0,0,1.0,0.0,0,running,0
20251112_114048,6,1762927849.0500195,car_2,20,0,1.0816000000000001,0.0,0,running,0
20251112_114048,6,1762927849.0500195,car_3,40,0,0.98,0.0,0,running,0
20251112_114048,6,1762927849.0500195,car_4,60,0,1.04,0.0,0,running,0
20251112_114048,6,1762927849.0500195,car_5,80,0,1.0,0.0,0,running,0
20251112_114048,6,1762927849.0500195,car_6,100,0,0.998816,0.0,0,running,0
20251112_114048,6,1762927849.0500195,car_7,120,0,1.0,0.0,0,running,0
20251112_114048,6,1762927849.0500195,car_8,140,0,1.0,0.0,0,running,0
20251112_114048,7,1762927849.0500195,car_1,0,0,1.0,0.0,0,running,0
20251112_114048,7,1762927849.0500195,car_2,20,0,1.0816000000000001,0.0,0,running,0
20251112_114048,7,1762927849.0500195,car_3,40,0,0.98,0.0,0,running,0
20251112_114048,7,1762927849.0500195,car_4,60,0,1.04,0.0,0,running,0
20251112_114048,7,1762927849.0500195,car_5,80,0,1.0,0.0,0,running,0
20251112_114048,7,1762927849.0500195,car_6,100,0,0.998816,0.0,0,running,0
20251112_114048,7,1762927849.0500195,car_7,120,0,1.0,0.0,0,running,0
20251112_114048,7,1762927849.0500195,car_8,140,0,1.0,0.0,0,running,0
20251112_114048,8,1762927849.0500195,car_1,0,0,1.0,0.0,0,running,0
20251112_114048,8,1762927849.0500195,car_2,20,0,1.0816000000000001,0.0,0,running,0
20251112_114048,8,1762927849.0500195,car_3,40,0,0.98,0.0,0,running,0
20251112_114048,8,1762927849.0500195,car_4,60,0,1.04,0.0,0,running,0
20251112_114048,8,1762927849.0500195,car_5,80,0,1.0,0.0,0,running,0
20251112_114048,8,1762927849.0500195,car_6,100,0,0.998816,0.0,0,running,0
20251112_114048,8,1762927849.0500195,car_7,120,0,1.0,0.0,0,running,0
20251112_114048,8,1762927849.0500195,car_8,140,0,1.0,0.0,0,running,0
20251112_114048,9,1762927849.0500195,car_1,0,0,1.0,0.0,0,running,0
20251112_114048,9,1762927849.0500195,car_2,20,0,1.124864,0.0,0,running,0
20251112_114048,9,1762927849.0500195,car_3,40,0,0.98,0.0,0,running,0
